Shipment ID	FBA17CCQ4ZVY
Name	FBA STA (08/31/2023 09:41)-MQJ1
Plan ID	
Ship To	MQJ1
Total SKUs	3
Total Units	504

Merchant SKU	Title	ASIN	FNSKU	external-id 	Condition	Who will prep?	Prep Type	Who will label?	Shipped
2F-8PCN-YPAO	1TO3GO Pet Grooming Gloves Pet Hair Remover Cat, Dog Washing Gloves Silicone Heat Resistant Cleaning Gloves with High-Density Teeth Grooming Gloves for Dogs, Cats, Horses, Rabbits (2 Pairs - Blue)	B0C2Z6W4PC	X003SMO8PV	--	New	No prep required	"--"	Merchant	56
4U-GGNP-22F6	1TO3GO Pet Grooming Gloves Pet Hair Remover Cat, Dog Washing Gloves Silicone Heat Resistant Cleaning Gloves with High-Density Teeth Grooming Gloves for Dogs, Cats, Horses, Rabbits (1 Pair - Gray)	B0C2ZBSM12	X003SMOTOB	--	New	No prep required	"--"	Merchant	224
9B-VS2B-VRE4	1TO3GO Pet Grooming Gloves Pet Hair Remover Cat, Dog Washing Gloves Silicone Heat Resistant Cleaning Gloves with High-Density Teeth Grooming Gloves for Dogs, Cats, Horses, Rabbits (1 Pair - Blue)	B0C2YXVGR7	X003SMBGKB	--	New	No prep required	"--"	Merchant	224
